Name,Location,Price
Thai Wayla,Brooklyn Heights,$$
The Migrant Kitchen,Brooklyn Heights,$$
Mr. Taka Ramen,Brooklyn Heights,$$
Chote Miya,Brooklyn Heights,$$
Jacobâ€™s Pickles,Brooklyn Heights,$$
Ivy Stark Mexology,Brooklyn Heights,$$
Pat LaFrieda Meat Purveyors,Brooklyn Heights,$$
Felice Pasta Bar,Brooklyn Heights,$$
Bubusan,Brooklyn Heights,$$
Ess-a-Bagel,Brooklyn Heights,$$
Sugar Hill Creamery,Brooklyn Heights,$$
Fornino,Brooklyn Heights,$$
Tiki Chick,Brooklyn Heights,$$
Little Neck,Brooklyn Heights,$$
Clinton St. Baking Company,Brooklyn Heights,$$
Tara Rose,Midtown,$
The Binc,Brooklyn Heights,$$
Two 8 Two Bar & Burger,Brooklyn Heights,$$
Bar Belly,LES,$$
Verlaine,LES,$
Sel Rose,LES,$$
Grey Lady,LES,$$
Hair of The Dog,LES,$
Fools Gold,LES,$
Sonny Boy Bar,LES,$
Set L.E.S,LES,$
Fish Cheeks,LES,$$
Nearly Ninth,Midtown,$
Peter Dillon,Midtown,$
Bodega 88,Midtown,$
Izakaya Juraku,Midtown,$$
At Nine Restaurant & Bar,Midtown,$$
Mew,Midtown,$
Lucky Cat,Midtown,$
Tomi Jazz,Midtown,$$
Gyu-Kaku Japanese BBQ,Midtown,$$
Pokito,WIlliamsburg,$
Skinny Dennis,WIlliamsburg,$
Maracuja,WIlliamsburg,$
Clinton Hall,WIlliamsburg,$
Iona Bar,WIlliamsburg,$
Sea Wolf,WIlliamsburg,$
DuckDuck,WIlliamsburg,$
Trapizzino Home,WIlliamsburg,$$
Super Burrito,Queens,$